Men's Free Pistol, 25 metres;25 mètres Pistolet d'Ordonnance (H);
Men's Free Pistol, 30 metres;30 mètres Pistolet d'Ordonnance (H);
Men's Free Pistol, 50 metres;50 mètres Pistolet d'Ordonnance (H);
Men's Free Pistol, 50 yards;50 yards Pistolet d'Ordonnance (H);
Men's Free Pistol, 50 yards, Team;50 yards Pistolet d'Ordonnance, par équipes (H);
Men's Free Pistol, 50 metres, Team;50 mètres pistolet d'ordonnance, par équipes (H);
Men's Free Rifle, 200 metres men;200 mètres Carabine d'Ordonnance homme;
Men's Free Rifle, 300m men;300m Carabine d'Ordonnance homme;
Men's Free Rifle, 1,000 Yards;Carabine d'ordonnance, 1000 yards (H);
Men's Free Rifle, Any Position, 300 metres;Carabine d'ordonnance, 300 mètres, positions libres (H);
Men's Free Rifle, Three Positions, 300 metres;Carabine d'ordonnance, 300m, 3 positions (H);
Men's Free Rifle, Three Positions, 300 metres, Team;Carabine d'ordonnance, 300m, 3 positions, par équipe (H);
Men's Free Rifle, team men;Carabine d'ordonnance, 300 mètres, 3 positions par équipes;
Men's Free Rifle, Kneeling, 300 metres;Carabine d'ordonnance, 300 mètres, à genoux (H);
Men's Free Rifle, Prone, 300 metres;Carabine d'ordonnance, 300 mètres, couché (H);
Men's Free Rifle, Standing, 300 metres;Carabine d'ordonnance, 300 mètres, debout (H);
Men's Free Rifle, Prone, 600 metres;Carabine d'ordonnance, 600 mètres, couché (H);
Men's Free Rifle, 400, 600 and 800 metres, Team;Carabine d'ordonnance, 400, 600 et 800 mètres, par équipe (H);
Men's Military Rifle, 200 metres;Carabine militaire, 200 mètres (H);
Men's Military Rifle, 200, 400, 500 and 600 metres, Team;Carabine militaire, 200, 400, 500 et 600 mètres, par équipe (H);
Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team;Carabine militaire, 200/500/600/800/900/1,000 Yards, par équipe (H);
Men's Military Rifle, 300 metres and 600 metres, Prone, Team;Carabine militaire 300 et 600 mètres, couché, par équipe (H);
Men's Military Rifle, Any Position, 600 metres;Carabine militaire, positions libres, 600 mètres (H);
Men's Military Rifle, Kneeling Or Standing, 300 metres;Carabine militaire, à genoux ou debout, 300 mètres (H);
